timestamp,btc_price,slope_mean,slope_std,sm_delta,hedge_ratio,volatility,pnl
00:12.8,3858.370782,-0.318826713,0.072997583,-0.183560684,1,0.548857811,1467.509071
01:12.7,3881.102386,-0.290150526,0.076547113,-0.353860648,2,0.549329012,2543.780933
01:38.1,3881.102386,-0.303165769,0.073863865,-0.39793341,2,0.549329303,2533.490522
02:13.1,3881.102386,-0.284033706,0.087314047,-0.467085965,2,0.549696462,2536.131912
02:37.1,3881.102386,-0.291054388,0.094754392,-0.531347696,3,0.5504309,2618.908153
02:42.1,3853.904155,-0.266542535,0.073616498,-0.95,5,0.548976474,10032.48358
03:00.8,3881.102386,-0.290137894,0.091875447,-0.594143738,3,0.550071524,2625.691066
03:36.8,3881.102386,-0.300426308,0.087587541,-0.654571046,3,0.550169517,2651.685372
04:12.8,3881.102386,-0.3073833,0.085738171,-0.689749081,3,0.549929387,2680.562646
04:36.8,3881.102386,-0.323558513,0.085262097,-0.704727863,4,0.549996552,2739.67635
05:00.8,3881.102386,-0.300417792,0.077867117,-0.751063035,4,0.549403127,2743.501058
10:36.6,3881.102386,-0.300295683,0.078760881,-0.788823987,4,0.54914332,2739.172561
11:02.0,3881.102386,-0.283383204,0.074116807,-0.829537997,4,0.549088056,2719.138353
11:36.6,3881.102386,-0.282112678,0.085216184,-0.860429165,4,0.549583035,2753.801003
14:00.7,3886.238371,-0.297501733,0.041733191,0.95,-5,0.546164931,3927.235748
15:48.5,3881.102386,-0.291559717,0.092995982,-0.906549472,5,0.550176494,2844.483605
16:25.6,3881.102386,-0.294735219,0.090872977,-0.924221426,5,0.549505906,2840.976908
17:00.5,3881.102386,-0.301159867,0.072275496,-0.947381897,5,0.549133289,2833.135012
17:24.4,3881.102386,-0.298547691,0.086246885,-0.946154754,5,0.549500077,2840.676501
18:00.8,3881.102386,-0.301892878,0.069498684,-0.95,5,0.548528863,2820.092916
18:36.6,3881.102386,-0.303840274,0.067711517,-0.95,5,0.548370835,2815.885018
19:14.2,3881.102386,-0.321811672,0.062401965,-0.95,5,0.54840365,2840.15266
19:37.3,3886.238371,-0.296489314,0.034353416,0.95,-5,0.545591617,3915.396302
19:48.8,3881.102386,-0.329769427,0.075724114,-0.95,5,0.549111975,2858.767936
20:12.6,3886.238371,-0.293840866,0.034470219,0.95,-5,0.545573159,3914.280091
20:12.6,3881.102386,-0.30017701,0.0856813,-0.95,5,0.549501078,2842.658515
20:48.6,3881.102386,-0.307831347,0.080545619,-0.95,5,0.549362417,2833.381886
